192.168.1.189
192.168.1.207
192.168.1.189
192.168.1.164
192.168.1.154
CacheNum: 10000 virtualNum: 100
real cache num: 10000
is actived ? true
902 192.168.1.157 0 42
903 192.168.1.157 1 42
904 192.168.1.165 0 0
905 192.168.1.165 1 0
906 192.168.1.165 2 0
907 192.168.1.165 3 0
908 192.168.1.165 4 0
909 192.168.1.165 5 0
910 192.168.1.165 6 0
911 192.168.1.207 0 91
912 192.168.1.207 1 91
913 192.168.1.207 2 91
914 192.168.1.207 3 91
915 192.168.1.207 4 91
916 192.168.1.207 5 91
917 192.168.1.207 6 91
918 192.168.1.158 0 43
919 192.168.1.203 0 56
920 192.168.1.203 1 56
921 192.168.1.203 2 56
922 192.168.1.203 3 56
923 192.168.1.203 4 56
924 192.168.1.204 0 41
925 192.168.1.204 1 41
926 192.168.1.204 2 41
927 192.168.1.204 3 41
928 192.168.1.204 4 41
929 192.168.1.204 5 41
930 192.168.1.204 6 41
931 192.168.1.204 7 41
932 192.168.1.204 8 41
933 192.168.1.204 9 41
934 192.168.1.204 10 41
935 192.168.1.204 11 41
936 192.168.1.204 12 41
937 192.168.1.208 0 91
938 192.168.1.208 1 91
939 192.168.1.208 2 91
940 192.168.1.208 3 91
941 192.168.1.117 0 66
942 192.168.1.184 0 8
943 192.168.1.184 1 8
944 192.168.1.184 2 8
945 192.168.1.184 3 8
946 192.168.1.184 4 8
947 192.168.1.184 5 8
948 192.168.1.184 6 8
949 192.168.1.199 0 5
950 192.168.1.199 1 5
951 192.168.1.199 2 5
952 192.168.1.199 3 5
953 192.168.1.199 4 5
954 192.168.1.199 5 5
955 192.168.1.199 6 5
956 192.168.1.198 0 92
957 192.168.1.132 0 8
958 192.168.1.132 1 8
959 192.168.1.154 0 32
960 192.168.1.154 1 32
961 192.168.1.154 2 32
